raw_data,Summary,Text,Cleaned_Summary,Cleaned_Text,Final_Content
"Id: 329849
UserId: A1YZYHCKDK2K4I
ProfileName: Santorini
HelpfulnessNumerator: 2
HelpfulnessDenominator: 2
Score: 5
Time: 1328832000
Summary: My Pooch loves them
Text: Since my pet does not like having his teeth cleaned, I have been giving him greenies for the past six years.  Each vet check-up confirms that he has no plaque buildup.  He is a picky eater but loves the taste of them as well.",My Pooch loves them,"Since my pet does not like having his teeth cleaned, I have been giving him greenies for the past six years.  Each vet check-up confirms that he has no plaque buildup.  He is a picky eater but loves the taste of them as well.",my pooch love them,sinc my pet doe not like have hi teeth clean i have been give him greeni for the past six year each vet checkup confirm that he ha no plaqu buildup he is a picki eater but love the tast of them as well,my pooch love them. sinc my pet doe not like have hi teeth clean i have been give him greeni for the past six year each vet checkup confirm that he ha no plaqu buildup he is a picki eater but love the tast of them as well
"Id: 329946
UserId: A1JSXH2JWFMOU4
ProfileName: Lynw21 ""Lyn""
HelpfulnessNumerator: 1
HelpfulnessDenominator: 2
Score: 5
Time: 1314144000
Summary: great product
Text: I was amazed at how well these cleaned my dogs teeth. He is not happy with getting his teeth brushed, especially in the back, the Greenies have assisted with cleaning this hard to reach area. I have read other reviews where people have had trouble with their dogs trying to chew off too much and choking or what-ever - my solution stay with your dog as they chew anything this is just plain common sense. I also give it after his evening meal so that he won't try to swallow to big of bites.",great product,"I was amazed at how well these cleaned my dogs teeth. He is not happy with getting his teeth brushed, especially in the back, the Greenies have assisted with cleaning this hard to reach area. I have read other reviews where people have had trouble with their dogs trying to chew off too much and choking or what-ever - my solution stay with your dog as they chew anything this is just plain common sense. I also give it after his evening meal so that he won't try to swallow to big of bites.",great product,i wa amaz at how well these clean my dog teeth he is not happi with get hi teeth brush especi in the back the greeni have assist with clean thi hard to reach area i have read other review where peopl have had troubl with their dog tri to chew off too much and choke or whatev my solut stay with your dog as they chew anyth thi is just plain common sens i also give it after hi even meal so that he wont tri to swallow to big of bite,great product. i wa amaz at how well these clean my dog teeth he is not happi with get hi teeth brush especi in the back the greeni have assist with clean thi hard to reach area i have read other review where peopl have had troubl with their dog tri to chew off too much and choke or whatev my solut stay with your dog as they chew anyth thi is just plain common sens i also give it after hi even meal so that he wont tri to swallow to big of bite
"Id: 563717
UserId: A13VH0PS4SKVDF
ProfileName: Karen
HelpfulnessNumerator: 0
HelpfulnessDenominator: 0
Score: 5
Time: 1341792000
Summary: Quaker soft baked oatmeal cookie
Text: I rec'd this product from influenster and Quaker for testing purposes. I've always enjoyed Quaker oats from the hot oatmeal, down to the cookie itself. Quaker soft baked oatmeal cookie is made with whole grain Quaker oats, At least 10 grams of whole grains per serving.<br />Made with real fruit, Good source of fiber, delicious. Quaker oats been around since over a hundred years.",Quaker soft baked oatmeal cookie,"I rec'd this product from influenster and Quaker for testing purposes. I've always enjoyed Quaker oats from the hot oatmeal, down to the cookie itself. Quaker soft baked oatmeal cookie is made with whole grain Quaker oats, At least 10 grams of whole grains per serving.<br />Made with real fruit, Good source of fiber, delicious. Quaker oats been around since over a hundred years.",quaker soft bake oatmeal cooki,i recd thi product from influenst and quaker for test purpos ive alway enjoy quaker oat from the hot oatmeal down to the cooki itself quaker soft bake oatmeal cooki is made with whole grain quaker oat at least gram of whole grain per serv made with real fruit good sourc of fiber delici quaker oat been around sinc over a hundr year,quaker soft bake oatmeal cooki. i recd thi product from influenst and quaker for test purpos ive alway enjoy quaker oat from the hot oatmeal down to the cooki itself quaker soft bake oatmeal cooki is made with whole grain quaker oat at least gram of whole grain per serv made with real fruit good sourc of fiber delici quaker oat been around sinc over a hundr year
"Id: 329791
UserId: A3V8UMB6LJ5V6K
ProfileName: wildwns ""wildwns""
HelpfulnessNumerator: 0
HelpfulnessDenominator: 0
Score: 5
Time: 1307145600
Summary: Great product for your dog !
Text: Have used greenies since they came out and they definitely help keep your dog's teeth clean. My dog gets excited about being treated to a Greenie everyday. The pricing was very attractive through Amazon, as much as half of what you would pay at a pet store. Very impressed with the product.",Great product for your dog !,"Have used greenies since they came out and they definitely help keep your dog's teeth clean. My dog gets excited about being treated to a Greenie everyday. The pricing was very attractive through Amazon, as much as half of what you would pay at a pet store. Very impressed with the product.",great product for your dog,have use greeni sinc they came out and they definit help keep your dog teeth clean my dog get excit about be treat to a greeni everyday the price wa veri attract through amazon as much as half of what you would pay at a pet store veri impress with the product,great product for your dog. have use greeni sinc they came out and they definit help keep your dog teeth clean my dog get excit about be treat to a greeni everyday the price wa veri attract through amazon as much as half of what you would pay at a pet store veri impress with the product
"Id: 30775
UserId: A3H4FFQ4AYZORO
ProfileName: Kevin A. Dixon ""Mark""
HelpfulnessNumerator: 0
HelpfulnessDenominator: 0
Score: 2
Time: 1349049600
Summary: Not my cup of tea
Text: Salt and vinegar is just ok to me.<br />They are not in the same league of utz Salt and vinegar potato chips.<br /><br />Just ok<br /><br />Not enough taste to them.",Not my cup of tea,Salt and vinegar is just ok to me.<br />They are not in the same league of utz Salt and vinegar potato chips.<br /><br />Just ok<br /><br />Not enough taste to them.,not my cup of tea,salt and vinegar is just ok to me they are not in the same leagu of utz salt and vinegar potato chip just ok not enough tast to them,not my cup of tea. salt and vinegar is just ok to me they are not in the same leagu of utz salt and vinegar potato chip just ok not enough tast to them
"Id: 330034
UserId: A23QGDSKN3IVBH
ProfileName: badmustang
HelpfulnessNumerator: 1
HelpfulnessDenominator: 1
Score: 5
Time: 1324252800
Summary: Great treat for you dog while improving their tooth health
Text: Greenies are a great product that dogs love and while they are enjoying their daily treat, they are actually keeping their teeth  and gums clean.  I always share the information on Greenies when people ask how I keep my 6 year old Yellow Labradors teeth so clean.  I'd always thought they were a bit expensive but Amazon has brought them to us at a more affordable price.  We have chosen the lite variety to keep our lab a bit trimmer in weight.  A good product at a reasonable price....Thanks",Great treat for you dog while improving their tooth health,"Greenies are a great product that dogs love and while they are enjoying their daily treat, they are actually keeping their teeth  and gums clean.  I always share the information on Greenies when people ask how I keep my 6 year old Yellow Labradors teeth so clean.  I'd always thought they were a bit expensive but Amazon has brought them to us at a more affordable price.  We have chosen the lite variety to keep our lab a bit trimmer in weight.  A good product at a reasonable price....Thanks",great treat for you dog while improv their tooth health,greeni are a great product that dog love and while they are enjoy their daili treat they are actual keep their teeth and gum clean i alway share the inform on greeni when peopl ask how i keep my year old yellow labrador teeth so clean id alway thought they were a bit expens but amazon ha brought them to us at a more afford price we have chosen the lite varieti to keep our lab a bit trimmer in weight a good product at a reason pricethank,great treat for you dog while improv their tooth health. greeni are a great product that dog love and while they are enjoy their daili treat they are actual keep their teeth and gum clean i alway share the inform on greeni when peopl ask how i keep my year old yellow labrador teeth so clean id alway thought they were a bit expens but amazon ha brought them to us at a more afford price we have chosen the lite varieti to keep our lab a bit trimmer in weight a good product at a reason pricethank
"Id: 30941
UserId: AJFXMVJTGGHTY
ProfileName: Wade Osborne ""Wade Osborne""
HelpfulnessNumerator: 0
HelpfulnessDenominator: 0
Score: 4
Time: 1312761600
Summary: great chips
Text: Pop Chips are the best chips I've had that are low calorie. The originals are my favorite but the Sea Salt and Vinegar are very very good also.",great chips,Pop Chips are the best chips I've had that are low calorie. The originals are my favorite but the Sea Salt and Vinegar are very very good also.,great chip,pop chip are the best chip ive had that are low calori the origin are my favorit but the sea salt and vinegar are veri veri good also,great chip. pop chip are the best chip ive had that are low calori the origin are my favorit but the sea salt and vinegar are veri veri good also
"Id: 329818
UserId: A2564RU496D0CH
ProfileName: Susan D ""Susan D""
HelpfulnessNumerator: 0
HelpfulnessDenominator: 0
Score: 5
Time: 1298073600
Summary: A little pricey, but worth the $
Text: Our full sized Goldendoodle gets one every day.  According to our vet, his teeth and gums ""look great"".  I also have purchased the feline greenies for my daughter when she complained that hr cat had ""bad breath"".  3 chews/3 days later=no more bad breath.","A little pricey, but worth the $","Our full sized Goldendoodle gets one every day.  According to our vet, his teeth and gums ""look great"".  I also have purchased the feline greenies for my daughter when she complained that hr cat had ""bad breath"".  3 chews/3 days later=no more bad breath.",a littl pricey but worth the,our full size goldendoodl get one everi day accord to our vet hi teeth and gum look great i also have purchas the felin greeni for my daughter when she complain that hr cat had bad breath chew day laterno more bad breath,a littl pricey but worth the. our full size goldendoodl get one everi day accord to our vet hi teeth and gum look great i also have purchas the felin greeni for my daughter when she complain that hr cat had bad breath chew day laterno more bad breath
"Id: 563247
UserId: A3ADADIUY2VMQY
ProfileName: erica
HelpfulnessNumerator: 0
HelpfulnessDenominator: 0
Score: 5
Time: 1342224000
Summary: Soft Baked cookies
Text: These cookies are so good and soft.. I love these cookies eat atleast one everyday I find littles one's love them as well.. You can't go wrong with these cookies plus they are good for you..",Soft Baked cookies,These cookies are so good and soft.. I love these cookies eat atleast one everyday I find littles one's love them as well.. You can't go wrong with these cookies plus they are good for you..,soft bake cooki,these cooki are so good and soft i love these cooki eat atleast one everyday i find littl one love them as well you cant go wrong with these cooki plu they are good for you,soft bake cooki. these cooki are so good and soft i love these cooki eat atleast one everyday i find littl one love them as well you cant go wrong with these cooki plu they are good for you
"Id: 367936
UserId: A39UBUU4Z6EYRI
ProfileName: HandsomeHannah
HelpfulnessNumerator: 0
HelpfulnessDenominator: 0
Score: 5
Time: 1336176000
Summary: frhgthyrfedws yeyeyey
Text: I really like this oil. Its amazing. I use it for my hair, and skin, and omfg. The first treatment I did to my hair, made it silky soft, shiny, and, it was not frizzy. Thank teh lard. And I used it on my gigantic pimple, the first 10 minutes, the redness from my pimple went away, and overnight, my pimple shrunk a decent amount. I havent consumed this yet. Not planning to. Just a (natural) beauty product for me.",frhgthyrfedws yeyeyey,"I really like this oil. Its amazing. I use it for my hair, and skin, and omfg. The first treatment I did to my hair, made it silky soft, shiny, and, it was not frizzy. Thank teh lard. And I used it on my gigantic pimple, the first 10 minutes, the redness from my pimple went away, and overnight, my pimple shrunk a decent amount. I havent consumed this yet. Not planning to. Just a (natural) beauty product for me.",frhgthyrfedw yeyeyey,i realli like thi oil it amaz i use it for my hair and skin and omfg the first treatment i did to my hair made it silki soft shini and it wa not frizzi thank teh lard and i use it on my gigant pimpl the first minut the red from my pimpl went away and overnight my pimpl shrunk a decent amount i havent consum thi yet not plan to just a natur beauti product for me,frhgthyrfedw yeyeyey. i realli like thi oil it amaz i use it for my hair and skin and omfg the first treatment i did to my hair made it silki soft shini and it wa not frizzi thank teh lard and i use it on my gigant pimpl the first minut the red from my pimpl went away and overnight my pimpl shrunk a decent amount i havent consum thi yet not plan to just a natur beauti product for me
